method: GET, query param: , path params: {} received at 2023-10-03 15:18:06.221210, url: http://127.0.0.1:8000/items
method: POST, query param: id=b181d3c0-621c-11ee-ac2e-706979ad68bd&name=pax&price=12, path params: {} received at 2023-10-03 16:09:57.425370, url: http://127.0.0.1:8000/items/create?id=b181d3c0-621c-11ee-ac2e-706979ad68bd&name=pax&price=12
method: GET, query param: , path params: {} received at 2023-10-03 16:14:02.441991, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:14:02.580689, url: http://127.0.0.1:8000/openapi.json
method: POST, query param: name=mas&price=12, path params: {} received at 2023-10-03 16:14:10.022460, url: http://127.0.0.1:8000/items/create?name=mas&price=12
method: GET, query param: , path params: {} received at 2023-10-03 16:15:25.918555, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:15:26.049535, url: http://127.0.0.1:8000/openapi.json
method: GET, query param: , path params: {} received at 2023-10-03 16:15:49.127708, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:15:49.272593, url: http://127.0.0.1:8000/openapi.json
method: GET, query param: , path params: {} received at 2023-10-03 16:15:51.177695, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:15:51.269896, url: http://127.0.0.1:8000/openapi.json
method: GET, query param: , path params: {} received at 2023-10-03 16:16:33.280306, url: http://127.0.0.1:8000/docs
method: GET, query param: , path params: {} received at 2023-10-03 16:16:33.410371, url: http://127.0.0.1:8000/openapi.json
method: POST, query param: , path params: {} received at 2023-10-03 16:16:42.490539, url: http://127.0.0.1:8000/items/create
method: POST, query param: , path params: {} received at 2023-10-03 16:17:03.499016, url: http://127.0.0.1:8000/items/create
method: POST, query param: , path params: {} received at 2023-10-03 16:17:15.711383, url: http://127.0.0.1:8000/items/create
